Comment,Designator,Footprint,JLCPCB Part #
100nF,"C1, C22, C23",402,C1525
1uF,"C10, C3, C5",603,C15849
22uF,"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20",805,C45783
10pF,C2,402,C32949 
10uF,C21,603,C96446
2.2uF,"C4, C6",603,C23630
220nF,"C7, C8, C9",603,C21120
BZX584C8V2,D1,D_SOD-523,C2991969
MMBD4448HTW,D2,SOT-363_SC-70-6,C435910
PMEG3030EP,D3,D_SOD-128,C255587
RB521SM-40T2R,"D4, D5, D6, D7",D_SOD-523,C253516
TestPoint,"GND1, TP5",TestPoint_Pad_2.5x2.5mm,
Conn_01x01_Pin,J1,Pad0.5,
Conn_01x01_Pin,"J10, J11, J2, J3, J8, J9",SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm,
Conn_01x04,J4,HDG 1x04 P0.6 Horizontal,C3008763
Conn_01x01,"J5, J6, J7",TestPoint_Pad_1.0x1.0mm,
10uH,L1,L_Sunltech_SLW2010P,C207862
FMMT718,Q1,SOT-23,C2910189
JMSL0302AU,"Q10, Q4, Q5, Q6, Q7, Q8, Q9",VSON-8_3.3x3.3mm_P0.65mm_NexFET,C2890409
EMZ1T2R,Q2,SOT-563,C510332
MMBFJ309,Q3,SOT-23,C58012
10k,"R1, R10, R11, R12, R13, R14, R18, R5, R8, R9",402,C25744
2k2,"R15, R16, R17, R2, R6",402,C25879
1k,"R19, R20, R21",402,C11702
4k7,R3,402,C25900
330R,R4,402,C25104
91k,R7,402,C4147
TestPoint_Small,"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,
AP3015KTR-G1,U1,SOT-23-5,C151334
AP2210K-3.3TRG1,U2,SOT-23-5,C176959
FD6288Q,U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C328453
AT32F421G8U7,U4,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,C2765098
