Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C22, C23",0402,3,100nF,C1525
"C10, C3, C5",0603,3,1uF,C15849
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20",0805,10,22uF,C45783
C2,0402,1,10pF,C32949 
C21,0603,1,10uF,C96446
"C4, C6",0603,2,2.2uF,C23630
"C7, C8, C9",0603,3,220nF,C21120
D1,D_SOD-523,1,BZX584C8V2,C2991969
D2,SOT-363_SC-70-6,1,MMBD4448HTW,C435910
D3,D_SOD-128,1,PMEG3030EP,C255587
"D4, D5, D6, D7",D_SOD-523,4,RB521SM-40T2R,C253516
J4,HDG 1x04 P0.6 Horizontal,1,Conn_01x04,C3008763
L1,L_Sunltech_SLW2010P,1,10uH,C207862
Q1,SOT-23,1,FMMT718,C2910189
"Q10, Q5, Q6, Q7, Q8, Q9",VSON-8_3.3x3.3mm_P0.65mm_NexFET,6,AP90N03Q,C2828593
Q2,SOT-563,1,EMZ1T2R,C510332
Q3,SOT-23,1,MMBFJ309,C58012
Q4,VSON-8_3.3x3.3mm_P0.65mm_NexFET,1,AON7418,C74384
"R1, R10, R11, R12, R13, R14, R18, R5, R8, R9",0402,10,10k,C25744
"R15, R16, R17, R2, R6",0402,5,2k2,C25879
"R19, R20, R21",0402,3,1k,C11702
R3,0402,1,4k7,C25900
R4,0402,1,330R,C25104
R7,0402,1,91k,C4147
U1,SOT-23-5,1,AP3015KTR-G1,C151334
U2,SOT-23-5,1,AP2210K-3.3TRG1,C176959
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,FD6288Q,C328453
U4,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,1,AT32F421G8U7,C2765098
